,销方单位代号
A04996,11
A09667,11
A03647,11
A06459,11
A13765,11
A05737,11
A02660,11
A06434,11
A12087,11
A07261,11
A06530,11
A03245,11
A04075,11
A03384,11
A11046,11
A06727,11
A06304,11
A09092,11
A03616,11
A13692,11
A03422,11
A10784,11
A11574,11
A04814,11
A06630,11
A07846,11
A02446,11
A08302,11
A03544,11
A12631,11
A03733,11
A04764,11
A09237,11
A10242,11
A07477,11
A02303,11
A07126,11
A10712,11
A07335,11
A04638,11
A12820,11
A09366,11
A07155,11
A00299,11
A02429,11
A09265,11
A09989,11
A03237,11
A03500,11
A08097,11
A01078,11
A04087,11
A09021,11
A05418,11
A00135,11
A04004,11
A04320,11
A10273,11
A06988,11
A13025,11
A07476,11
A10901,11
A00865,11
A07776,11
A12878,11
A11704,11
A04127,11
A02602,11
A13363,11
A03084,11
A04285,11
A07573,11
A00880,11
A06354,11
A03698,11
A13097,11
A09161,11
A04054,11
A03793,11
A05083,11
A08603,11
A07325,11
A06972,11
A07055,11
A07799,11
A09716,11
A10846,11
A11663,11
A07622,11
A11173,11
A06696,11
A09742,11
A03313,11
A00742,11
A08349,11
A04134,11
A01501,11
A10142,11
A13422,11
A12444,11
A04122,11
A08161,11
A04003,11
A02728,11
A13588,11
A03909,11
A10711,11
A05046,11
A09147,11
A07530,11
A03598,11
A07961,11
A12180,11
A10551,11
A06811,11
A10172,11
A07108,11
A10434,11
A03334,11
A10839,11
A09103,11
A07859,11
A11796,11
A13532,11
A04537,11
A07033,11
A04459,11
A00834,10
A11011,10
A04847,10
A10781,10
A02486,10
A03604,10
A01142,10
A02827,10
A08889,10
A08476,10
A13589,10
A03105,10
A08557,10
A11168,10
A02974,10
A02107,10
A04052,10
A04286,10
A07491,10
A03220,10
A06279,10
A07676,10
A04572,10
A08551,10
A13327,10
A00015,10
A08849,10
A08045,10
A07236,10
A08240,10
A08882,10
A11709,10
A07557,10
A01076,10
A09296,10
A06736,10
A10766,10
A13522,10
A04078,10
A08164,10
A04853,10
A01997,10
A04382,10
A02404,10
A06158,10
A08371,10
A06791,10
A08407,10
A02444,10
A11930,10
A06220,10
A09938,10
A08690,10
A00037,10
A05194,10
A10994,10
A13332,10
A12450,10
A10718,10
A13016,10
A01414,10
A12687,10
A07467,10
A07451,10
A02322,10
A05831,10
A13338,10
A09697,10
A06610,10
A05401,10
A01914,10
A11232,10
A08597,10
A06326,10
A03559,10
A08633,10
A10971,10
A10101,10
A08810,10
A06241,10
A13090,10
A05453,10
A07582,10
A06132,10
A07362,10
A11287,10
A08547,10
A00591,10
A01706,10
A03743,10
A07358,10
A04176,10
A10699,10
A01217,10
A04013,10
A03772,10
A03152,10
A04063,10
A09106,10
A03938,10
A06356,10
A05989,10
A04121,10
A10874,10
A06462,10
A03949,10
A06552,10
A03246,10
A07635,10
A10150,10
A13124,10
A02731,10
A03782,10
A12986,10
A13620,10
A05363,10
A00562,10
A04771,10
A08665,10
A11801,10
A01711,10
A00836,10
A10490,10
A06887,10
A01647,10
A06641,10
A02573,10
A13452,10
A10788,10
A10847,10
A01291,10
A01601,10
A00633,10
A08255,10
A00685,10
A07938,10
A06989,10
A07752,10
A08174,10
A03917,10
A04192,10
A00602,10
A12960,10
A07953,10
A04967,10
A04281,10
A05754,10
A07140,10
A04588,10
A08334,10
A11409,10
A00074,10
A10887,10
A09393,10
A09477,10
A03425,10
A04137,10
A13691,10
A02615,10
A09486,10
A06540,10
A09821,10
A13248,10
A02820,10
A10200,10
A03899,10
A10988,10
A05055,10
A09102,10
A01133,10
A04596,10
A03380,10
A09579,10
A08932,10
A00464,10
A06522,10
A06748,10
A02769,10
A03557,10
A08585,10
A03773,10
A11769,10
A02525,10
A06299,10
A13057,10
A11249,10
A04787,10
A08326,10
A08596,10
A11912,10
A05865,10
A08904,10
A00891,10
A12708,10
A02397,10
A06281,10
A11882,10
A11886,10
A10927,10
A08103,10
A09930,10
A06783,10
A11460,10
A02547,10
A00328,10
A09240,10
A02718,10
A06547,10
A02760,9
A05933,9
A01564,9
A07068,9
A09504,9
A12304,9
A05638,9
A01827,9
A13622,9
A03216,9
A09564,9
A04094,9
A07973,9
A05240,9
A12286,9
A09968,9
A04429,9
A03212,9
A02996,9
A05200,9
A08776,9
A07426,9
A03485,9
A03329,9
A12132,9
A03762,9
A03831,9
A08767,9
A10612,9
A03125,9
A08432,9
A09167,9
A02350,9
A00878,9
A01974,9
A13094,9
A02970,9
A12777,9
A05588,9
A04614,9
A13887,9
A07098,9
A03270,9
A06333,9
A00937,9
A08539,9
A07713,9
A05414,9
A06433,9
A09502,9
A06667,9
A01699,9
A11237,9
A03841,9
A02164,9
A00262,9
A10332,9
A12012,9
A08162,9
A10568,9
A07029,9
A02780,9
A11678,9
A07731,9
A02721,9
A05470,9
A02694,9
A02989,9
A04405,9
A03583,9
A12185,9
A09218,9
A00779,9
A02297,9
A08192,9
A12559,9
A06232,9
A10664,9
A08491,9
A11167,9
A06568,9
A10519,9
A09030,9
A01415,9
A06359,9
A05532,9
A08919,9
A06602,9
A04543,9
A11322,9
A13514,9
A02331,9
A07134,9
A13510,9
A09085,9
A00711,9
A09191,9
A03632,9
A06698,9
A11839,9
A03505,9
A11007,9
A04788,9
A11993,9
A11374,9
A03826,9
A13428,9
A09463,9
A10636,9
A00040,9
A10399,9
A12445,9
A06054,9
A00751,9
A03024,9
A01663,9
A13568,9
A06752,9
A12218,9
A10683,9
A02701,9
A02551,9
A03934,9
A08671,9
A09762,9
A06041,9
A04901,9
A12434,9
A08561,9
A06623,9
A05930,9
A10674,9
A07883,9
A06829,9
A07409,9
A07390,9
A11083,9
A05327,9
A09063,9
A00787,9
A06303,9
A13799,9
A06460,9
A07289,9
A04145,9
A08002,9
A04130,9
A10140,9
A12603,9
A03874,9
A02887,9
A07992,9
A11738,9
A03708,9
A01488,9
A02009,9
A07444,9
A06631,9
A07545,9
A09420,9
A13679,9
A08643,9
A12969,9
A12309,9
A09668,9
A02316,9
A08299,9
A00759,9
A08203,9
A09776,9
A11272,9
A00766,9
A10630,9
A05808,9
A04126,9
A10981,9
A13850,9
A07789,9
A05006,9
A12202,9
A00857,9
A07617,9
A02267,9
A03625,9
A12945,9
A03274,9
A06228,9
A11740,9
A01508,9
A02273,9
A07059,9
A04924,9
A03426,9
A08742,9
A02019,9
A13072,9
A07161,9
A04072,9
A02945,9
A07285,9
A03435,9
A06878,9
A07610,9
A06792,9
A09720,9
A10902,9
A01473,9
A10288,9
A07021,9
A08283,9
A05099,9
A07434,9
A13698,9
A07962,9
A03576,9
A09262,9
A09635,9
A00385,9
A07575,9
A07290,9
A11676,9
A08120,9
A03764,9
A12839,9
A05478,9
A09535,9
A08241,9
A11319,9
A04103,9
A03091,9
A00747,9
A07493,9
A08885,9
A03723,9
A04549,9
A10448,9
A01425,9
A03664,9
A10801,9
A07577,9
A04865,9
A12761,9
A08653,9
A04369,9
A11296,9
A03646,9
A13731,8
A12205,8
A06806,8
A08377,8
A02312,8
A00080,8
A01684,8
A03839,8
A12940,8
A00896,8
A06339,8
A01873,8
A03234,8
A04109,8
A07463,8
A04980,8
A04091,8
A05292,8
A12795,8
A13106,8
A03619,8
A02419,8
A11897,8
A09492,8
A07983,8
A02781,8
A12868,8
A08926,8
A06069,8
A05792,8
A05133,8
A06828,8
A07136,8
A07137,8
A07408,8
A08730,8
A00944,8
A01461,8
A09332,8
A13439,8
A10933,8
A03490,8
A04278,8
A12407,8
A08918,8
A12682,8
A10027,8
A09099,8
A00666,8
A07122,8
A08132,8
A13675,8
A10850,8
A12420,8
A05397,8
A04567,8
A09081,8
A01423,8
A09105,8
A13896,8
A09946,8
A09070,8
A04043,8
A02411,8
A08451,8
A10586,8
A01090,8
A06810,8
A03272,8
A12141,8
A09638,8
A06767,8
A10249,8
A01363,8
A07286,8
A13132,8
A07093,8
A13038,8
A12460,8
A12338,8
A00253,8
A04693,8
A09785,8
A05713,8
A00089,8
A11884,8
A06024,8
A09764,8
A02212,8
A04995,8
A07654,8
A03219,8
A10790,8
A08475,8
A11941,8
A07838,8
A12846,8
A08813,8
A06933,8
A08443,8
A07703,8
A03032,8
A04640,8
A01441,8
A10805,8
A03225,8
A12637,8
A11285,8
A07625,8
A07932,8
A13204,8
A13427,8
A13203,8
A04515,8
A08792,8
A02794,8
A11878,8
A02048,8
A11620,8
A08394,8
A09778,8
A05886,8
A09655,8
A07868,8
A11433,8
A09647,8
A08327,8
A11795,8
A03177,8
A03751,8
A13877,8
A05127,8
A05391,8
A13689,8
A04423,8
A03515,8
A06705,8
A03694,8
A09548,8
A12410,8
A05405,8
A04617,8
A00309,8
A13586,8
A02636,8
A06091,8
A09122,8
A00741,8
A13551,8
A03365,8
A05679,8
A01648,8
A08017,8
A02597,8
A08330,8
A11768,8
A05382,8
A13221,8
A09497,8
A04310,8
A09412,8
A04665,8
A13782,8
A11736,8
A02657,8
A00479,8
A05365,8
A00335,8
A07900,8
A00762,8
A03585,8
A02599,8
A13728,8
A06668,8
A10837,8
A09017,8
A07233,8
A03492,8
A07229,8
A05832,8
A11691,8
A05350,8
A07470,8
A08984,8
A00738,8
A13436,8
A02984,8
A05190,8
A07925,8
A07381,8
A03737,8
A13279,8
A03513,8
A00255,8
A05085,8
A08317,8
A12678,8
A13435,8
A04888,8
A00361,8
A08854,8
A13894,8
A06987,8
A07929,8
A08104,8
A12020,8
A05500,8
A13871,8
A06601,8
A03295,8
A10168,8
A12123,8
A10992,8
A05962,8
A06411,8
A07071,8
A05597,8
A03716,8
A05032,8
A01394,8
A09624,8
A05460,8
A06454,8
A06436,8
A09287,8
A01788,8
A00180,8
A05313,8
A02884,8
A03813,8
A01998,8
A08635,8
A03652,8
A02789,8
A08861,8
A02619,8
A12381,8
A11748,8
A03459,8
A08473,8
A04017,8
A08147,8
A11618,8
A13053,8
A05762,8
A11468,8
A10312,8
A08298,8
A03432,8
A10690,8
A03372,8
A04114,8
A08550,8
A12513,8
A02136,8
A09566,8
A11554,8
A04396,8
A07372,8
A09354,8
A13793,8
A02883,8
A13082,8
A03059,8
A03027,8
A06699,8
A06072,8
A13819,8
A03916,8
A04309,8
A07226,8
A07656,7
A07569,7
A12366,7
A00306,7
A10915,7
A08264,7
A01191,7
A08159,7
A12176,7
A05779,7
A13825,7
A01082,7
A02740,7
A03642,7
A10349,7
A08411,7
A02097,7
A00597,7
A01712,7
A06839,7
A01330,7
A00429,7
A06751,7
A08200,7
A13397,7
A02671,7
A08156,7
A03409,7
A02855,7
A13516,7
A10553,7
A07621,7
A12208,7
A13880,7
A06799,7
A05899,7
A08541,7
A03363,7
A13673,7
A04629,7
A03142,7
A12729,7
A03265,7
A07235,7
A07389,7
A00989,7
A04539,7
A13366,7
A08678,7
A10815,7
A10064,7
A03799,7
A00213,7
A04235,7
A06860,7
A05620,7
A08650,7
A07905,7
A00897,7
A13592,7
A11649,7
A12273,7
A06438,7
A02818,7
A06458,7
A06065,7
A06214,7
A07497,7
A00454,7
A13567,7
A09054,7
A03242,7
A02504,7
A11840,7
A06982,7
A10909,7
A06119,7
A07221,7
A13690,7
A12652,7
A05149,7
A07935,7
A01108,7
A01691,7
A06805,7
A04430,7
A02871,7
A09850,7
A10362,7
A11210,7
A06466,7
A11087,7
A04053,7
A06301,7
A10137,7
A06624,7
A08621,7
A02410,7
A04394,7
A03424,7
A09521,7
A10885,7
A11489,7
A00098,7
A10960,7
A08080,7
A08921,7
A02096,7
A02569,7
A12466,7
A03850,7
A07391,7
A10771,7
A00332,7
A13342,7
A06334,7
A06449,7
A08770,7
A08948,7
A08755,7
A01374,7
A11069,7
A00195,7
A07089,7
A12364,7
A08564,7
A05896,7
A08925,7
A03345,7
A05307,7
A13626,7
A11150,7
A07939,7
A06323,7
A06932,7
A03499,7
A03291,7
A05917,7
A02072,7
A00325,7
A05897,7
A02603,7
A05251,7
A04918,7
A11264,7
A04958,7
A07787,7
A05600,7
A06358,7
A05702,7
A05992,7
A07522,7
A07249,7
A00032,7
A13564,7
A01031,7
A03373,7
A05629,7
A04482,7
A02542,7
A09391,7
A02418,7
A05882,7
A13115,7
A12207,7
A06794,7
A01422,7
A05692,7
A11776,7
A09875,7
A01606,7
A13085,7
A07863,7
A02390,7
A06481,7
A07092,7
A10893,7
A01846,7
A11385,7
A00403,7
A05265,7
A03925,7
A10017,7
A10330,7
A10093,7
A06764,7
A03675,7
A00583,7
A05793,7
A01424,7
A04370,7
A09213,7
A07748,7
A07902,7
A03348,7
A05270,7
A05569,7
A12455,7
A09947,7
A11970,7
A06276,7
A12264,7
A02979,7
A04243,7
A12800,7
A12151,7
A09444,7
A12599,7
A00573,7
A02083,7
A07044,7
A09990,7
A13335,7
A07380,7
A02613,7
A08074,7
A02503,7
A00412,7
A11730,7
A02837,7
A10470,7
A06831,7
A12179,7
A10513,7
A02098,7
A13840,7
A04129,7
A09586,7
A09447,7
A00815,7
A02015,7
A05346,7
A01426,7
A05399,7
A05497,7
A00401,7
A00714,7
A04290,7
A03946,7
A07593,7
A12727,7
A04245,7
A08427,7
A13674,7
A10321,7
A02377,7
A00981,7
A05004,7
A08625,7
A03041,7
A01028,7
A11599,7
A07802,7
A07205,7
A08261,7
A03364,7
A06546,7
A01756,7
A03514,7
A11667,7
A11625,7
A11800,7
A07061,7
A07940,7
A04807,7
A02385,7
A03229,7
A00107,7
A09244,7
A12118,7
A07673,7
A11530,7
A00257,7
A10861,7
A07532,7
A08519,7
A00576,7
A06757,7
A13160,7
A09055,7
A03048,7
A10183,7
A01629,7
A07407,7
A04802,7
A00217,7
A02691,7
A09683,7
A04283,7
A09011,7
A09307,7
A08248,7
A10639,7
A13869,7
A06130,7
A07667,7
A01814,7
A07340,7
A07490,7
A10794,7
A07048,7
A03975,7
A02623,7
A02081,7
A06062,7
A06869,7
A06779,7
A07516,7
A01003,7
A12532,7
A03260,7
A10684,7
A00347,7
A10537,7
A09800,7
A09643,7
A12626,7
A09115,7
A04636,7
A12059,7
A09423,7
A00227,7
A01707,7
A03162,7
A00114,7
A02271,7
A03803,7
A01404,7
A02269,7
A03865,7
A12508,7
A03857,7
A02145,7
A00422,7
A03173,7
A03756,7
A12431,7
A01529,7
A10226,7
A07005,7
A03627,7
A01375,7
A04427,7
A02309,7
A03817,7
A00307,7
A00925,7
A04800,7
A10535,7
A12249,7
A05956,7
A05174,6
A07634,6
A12683,6
A04936,6
A08254,6
A00397,6
A01116,6
A00482,6
A02957,6
A04067,6
A12322,6
A13324,6
A00565,6
A08063,6
A12860,6
A11013,6
A03986,6
A13134,6
A06944,6
A08015,6
A07403,6
A08205,6
A02319,6
A09035,6
A03600,6
A08692,6
A04510,6
A07147,6
A02745,6
A03905,6
A08812,6
A04508,6
A09078,6
A04804,6
A13810,6
A12129,6
A06387,6
A07679,6
A00903,6
A00812,6
A04311,6
A12029,6
A03528,6
A07807,6
A07324,6
A09330,6
A12875,6
A03643,6
A13303,6
A06044,6
A06265,6
A01334,6
A06278,6
A04467,6
A10891,6
A10475,6
A00483,6
A08339,6
A00976,6
A12308,6
A06252,6
A07182,6
A09236,6
A02148,6
A01106,6
A12744,6
A02290,6
A09572,6
A08644,6
A08408,6
A10114,6
A02754,6
A04502,6
A05801,6
A04165,6
A06317,6
A03527,6
A12762,6
A09436,6
A03465,6
A02895,6
A07251,6
A11308,6
A02767,6
A05925,6
A13411,6
A13371,6
A13591,6
A01114,6
A10289,6
A10485,6
A05425,6
A11192,6
A09120,6
A13391,6
A11358,6
A06722,6
A00293,6
A02733,6
A12876,6
A03250,6
A08276,6
A09513,6
A02806,6
A08899,6
A13383,6
A08915,6
A01585,6
A07771,6
A11783,6
A13368,6
A03691,6
A13149,6
A00942,6
A12399,6
A12642,6
A03561,6
A06186,6
A12244,6
A11987,6
A03340,6
A09858,6
A07025,6
A07766,6
A03603,6
A00827,6
A07119,6
A02537,6
A09527,6
A01600,6
A13165,6
A03222,6
A03771,6
A02904,6
A03593,6
A02713,6
A06465,6
A05967,6
A01808,6
A08530,6
A01322,6
A12814,6
A13800,6
A11147,6
A04696,6
A10744,6
A04531,6
A02399,6
A04128,6
A02829,6
A11957,6
A03774,6
A07800,6
A08348,6
A08750,6
A04421,6
A08611,6
A07016,6
A13382,6
A12717,6
A12307,6
A03031,6
A10498,6
A07987,6
A01433,6
A06419,6
A02288,6
A12026,6
A12966,6
A00111,6
A00980,6
A09279,6
A02917,6
A09476,6
A03702,6
A09479,6
A03512,6
A11990,6
A05905,6
A04084,6
A11702,6
A01851,6
A00619,6
A06645,6
A13240,6
A02861,6
A07462,6
A05422,6
A08894,6
A13583,6
A01000,6
A09157,6
A04658,6
A09380,6
A05467,6
A11594,6
A13667,6
A09350,6
A13023,6
A03744,6
A11614,6
A05550,6
A08506,6
A02023,6
A08499,6
A09162,6
A11900,6
A03484,6
A12394,6
A07536,6
A10507,6
A00913,6
A02001,6
A07049,6
A04728,6
A07759,6
A05191,6
A10738,6
A06343,6
A06194,6
A01121,6
A00686,6
A09135,6
A02440,6
A01254,6
A07944,6
A07299,6
A07727,6
A10888,6
A05980,6
A13003,6
A05420,6
A00532,6
A05263,6
A07099,6
A09051,6
A09490,6
A12169,6
A03847,6
A02165,6
A06110,6
A04592,6
A13531,6
A10743,6
A13558,6
A02195,6
A09316,6
A10691,6
A09326,6
A06442,6
A01098,6
A08887,6
A10100,6
A00760,6
A08535,6
A01619,6
A07671,6
A11077,6
A13563,6
A10109,6
A05280,6
A06056,6
A06658,6
A04845,6
A08814,6
A02365,6
A07724,6
A08163,6
A02922,6
A12910,6
A08791,6
A12888,6
A04456,6
A11109,6
A10496,6
A02928,6
A00895,6
A10768,6
A05202,6
A06702,6
A11838,6
A05969,6
A01249,6
A01918,6
A12159,6
A01732,6
A08391,6
A08809,6
A05539,6
A04364,6
A09032,6
A06550,6
A01849,6
A13048,6
A02491,6
A08695,6
A03367,6
A09283,6
A05362,6
A00888,6
A11537,6
A02467,6
A06677,6
A10829,6
A08647,6
A12824,6
A04987,6
A12790,6
A04955,6
A12880,6
A13617,6
A11583,6
A00651,6
A06409,6
A00376,6
A01237,6
A13587,6
A10836,6
A06315,6
A08516,6
A06149,6
A12506,6
A03185,6
A12292,6
A01149,6
A13118,6
A06402,6
A06398,6
A09736,6
A10250,6
A06735,6
A07640,6
A03740,6
A04566,6
A09360,6
A13331,6
A08738,6
A04113,6
A10441,6
A06424,6
A13720,6
A11394,6
A00909,6
A12147,6
A04982,6
A01164,6
A07746,6
A02572,6
A01462,6
A13443,6
A10979,6
A06371,6
A00524,6
A02559,6
A06435,6
A01879,6
A09675,6
A02656,6
A06628,6
A07888,6
A05959,6
A00082,6
A05272,6
A08441,6
A07849,6
A01202,6
A02850,6
A05125,6
A09685,6
A09202,6
A06390,6
A08923,6
A03349,6
A02287,6
A03696,6
A00638,6
A01435,6
A00674,6
A07104,6
A01102,6
A07264,6
A04418,6
A07689,6
A04287,6
A06911,6
A02812,6
A08116,6
A01916,6
A06467,6
A07416,6
A06607,6
A06592,6
A05062,6
A05554,6
A13751,6
A08117,6
A04829,6
A12499,6
A10872,6
A10468,6
A08628,6
A13623,6
A01885,6
A04010,6
A10356,6
A06263,6
A08018,6
A11834,6
A12353,6
A05685,6
A02892,6
A03158,6
A11501,6
A11089,6
A00960,6
A11376,6
A03263,6
A11123,6
A08151,6
A07345,6
A08026,6
A13305,6
A01366,6
A11157,6
A11613,6
A09466,6
A13824,6
A09590,6
A01512,6
A04630,6
A13347,6
A06776,6
A07321,6
A08322,6
A09965,6
A06058,6
A10438,6
A07138,6
A09155,6
A01520,6
A03475,6
A05868,6
A12290,6
A06254,6
A04314,6
A00414,6
A00829,6
A03688,6
A03040,6
A09917,6
A01081,6
A00033,6
A00765,6
A11986,6
A07269,6
A11645,6
A09104,6
A12427,6
A13073,6
A01060,6
A06239,6
A02281,6
A10673,6
A13357,6
A09530,6
A08956,6
A07942,6
A03301,6
A13417,6
A00044,6
A00224,6
A12454,6
A11251,6
A04581,6
A10311,6
A09859,6
A13650,6
A03541,6
A07452,6
A00503,6
A06491,6
A05932,6
A10099,6
A07605,6
A13544,6
A11086,6
A03843,6
A00200,6
A02475,6
A02357,6
A09980,6
A05887,6
A12136,6
A00394,6
A04154,6
A08212,6
A04229,6
A01406,6
A07077,6
A01813,6
A06243,6
A12531,5
A00359,5
A04060,5
A08834,5
A05343,5
A00756,5
A01618,5
A00270,5
A10433,5
A06391,5
A06934,5
A10466,5
A13832,5
A00985,5
A13546,5
A04161,5
A02441,5
A08729,5
A04564,5
A09654,5
A12733,5
A06755,5
A01418,5
A12725,5
A02453,5
A03213,5
A04064,5
A03940,5
A00662,5
A05753,5
A04379,5
A13525,5
A05559,5
A07751,5
A11357,5
A12569,5
A00096,5
A08851,5
A05705,5
A06555,5
A12477,5
A07058,5
A01576,5
A04616,5
A08268,5
A10121,5
A04332,5
A02159,5
A12139,5
A02663,5
A06437,5
A00665,5
A13581,5
A12125,5
A06270,5
A04376,5
A08609,5
A03931,5
A09207,5
A03502,5
A12485,5
A03526,5
A03577,5
A06556,5
A04242,5
A11309,5
A00062,5
A08855,5
A03800,5
A06921,5
A04428,5
A05920,5
A10866,5
A12188,5
A04911,5
A02177,5
A08168,5
A03842,5
A00658,5
A07552,5
A01522,5
A02661,5
A09495,5
A07133,5
A00900,5
A01250,5
A00204,5
A12864,5
A06483,5
A12094,5
A07852,5
A10196,5
A02673,5
A13868,5
A10832,5
A13314,5
A11010,5
A01672,5
A08385,5
A00282,5
A12054,5
A12775,5
A03051,5
A07580,5
A01989,5
A03991,5
A12591,5
A01789,5
A12108,5
A00425,5
A13061,5
A05475,5
A10504,5
A03085,5
A13561,5
A12570,5
A05140,5
A06495,5
A12357,5
A09132,5
A08318,5
A13098,5
A01900,5
A03244,5
A05926,5
A07281,5
A04279,5
A12994,5
A13851,5
A13755,5
A09114,5
A09178,5
A10542,5
A00278,5
A05763,5
A06854,5
A11235,5
A02810,5
A03199,5
A04223,5
A09171,5
A00276,5
A04312,5
A01807,5
A00129,5
A10207,5
A11758,5
A04772,5
A08913,5
A09522,5
A11115,5
A05825,5
A09339,5
A07768,5
A00521,5
A09464,5
A05277,5
A05599,5
A02610,5
A05024,5
A00387,5
A03974,5
A02848,5
A03670,5
A13205,5
A08005,5
A10552,5
A07034,5
A11346,5
A05949,5
A09379,5
A11841,5
A06815,5
A00712,5
A13645,5
A10082,5
A11338,5
A12073,5
A08660,5
A13770,5
A06542,5
A05674,5
A11121,5
A12905,5
A01048,5
A09489,5
A09417,5
A11470,5
A11516,5
A06720,5
A12175,5
A08544,5
A08783,5
A02646,5
A07120,5
A04481,5
A12766,5
A09865,5
A07636,5
A08291,5
A03108,5
A13051,5
A07375,5
A07916,5
A11117,5
A06293,5
A01337,5
A11576,5
A12270,5
A00890,5
A10668,5
A01887,5
A10685,5
A02407,5
A03331,5
A08816,5
A02082,5
A04985,5
A11129,5
A06998,5
A07429,5
A08249,5
A08434,5
A07257,5
A03661,5
A06605,5
A10682,5
A02483,5
A03517,5
A11315,5
A10807,5
A06862,5
A07291,5
A00692,5
A05050,5
A04833,5
A03023,5
A08178,5
A03568,5
A07274,5
A00126,5
A11532,5
A02910,5
A06008,5
A03824,5
A12312,5
A07608,5
A11849,5
A07410,5
A02252,5
A12358,5
A06917,5
A00229,5
A13885,5
A05449,5
A03049,5
A02052,5
A13503,5
A06488,5
A04610,5
A05866,5
A10002,5
A04871,5
A05846,5
A06813,5
A04826,5
A07411,5
A03856,5
A06691,5
A04538,5
A13742,5
A00809,5
A10725,5
A02062,5
A01487,5
A12039,5
A02600,5
A04716,5
A03845,5
A04291,5
A10238,5
A07757,5
A04059,5
A11482,5
A02412,5
A03921,5
A03439,5
A09064,5
A09583,5
A03197,5
A09292,5
A01530,5
A04100,5
A10538,5
A07879,5
A07648,5
A02696,5
A07338,5
A03404,5
A10922,5
A02091,5
A08524,5
A13076,5
A03742,5
A12200,5
A06582,5
A10936,5
A08797,5
A01185,5
A01399,5
A07866,5
A11052,5
A09871,5
A13540,5
A06946,5
A09975,5
A07993,5
A01831,5
A07002,5
A10259,5
A06218,5
A12406,5
A01949,5
A10840,5
A07601,5
A04648,5
A04986,5
A13202,5
A06916,5
A09255,5
A13891,5
A06747,5
A11019,5
A09866,5
A05544,5
A13328,5
A01241,5
A02155,5
A04049,5
A04540,5
A10180,5
A08099,5
A08267,5
A10688,5
A00667,5
A06902,5
A05618,5
A11980,5
A05095,5
A13769,5
A07563,5
A13311,5
A04164,5
A04153,5
A01561,5
A06940,5
A01689,5
A04050,5
A09331,5
A05706,5
A04066,5
A12768,5
A00476,5
A01158,5
A12947,5
A01515,5
A02890,5
A08399,5
A05402,5
A05979,5
A02873,5
A02043,5
A04757,5
A07767,5
A07094,5
A04527,5
A10821,5
A06977,5
A04264,5
A07045,5
A10974,5
A04781,5
A06966,5
A08321,5
A01594,5
A09068,5
A03859,5
A01697,5
A03788,5
A05730,5
A00478,5
A02741,5
A01658,5
A10646,5
A08493,5
A02933,5
A13185,5
A10517,5
A12095,5
A03025,5
A04606,5
A02190,5
A12983,5
A03211,5
A07421,5
A00469,5
A13231,5
A06095,5
A08251,5
A12990,5
A03507,5
A10241,5
A00553,5
A06697,5
A09246,5
A11770,5
A07979,5
A09733,5
A05795,5
A03378,5
A04186,5
A04389,5
A01001,5
A05515,5
A06612,5
A06591,5
A04956,5
A04727,5
A08757,5
A08010,5
A09691,5
A03823,5
A07955,5
A03022,5
A11774,5
A06936,5
A03133,5
A06558,5
A09551,5
A13373,5
A10175,5
A07865,5
A08112,5
A06599,5
A07832,5
A13410,5
A04825,5
A01378,5
A07254,5
A06983,5
A09430,5
A04754,5
A08536,5
A10982,5
A01427,5
A11888,5
A11339,5
A08436,5
A12370,5
A08977,5
A05485,5
A12841,5
A01403,5
A13438,5
A13565,5
A03090,5
A06687,5
A13758,5
A06796,5
A00184,5
A06780,5
A12060,5
A10732,5
A10483,5
A09547,5
A10120,5
A02296,5
A09793,5
A06904,5
A00694,5
A12598,5
A06948,5
A02732,5
A11344,5
A08384,5
A01882,5
A03687,5
A13281,5
A05407,5
A12149,5
A02711,5
A07081,5
A05442,5
A00028,5
A13647,5
A01196,5
A12612,5
A07749,5
A02425,5
A02544,5
A04873,5
A08199,5
A01047,5
A04455,5
A09299,5
A07159,5
A10228,5
A08449,5
A02058,5
A08964,5
A01107,5
A11812,5
A01638,5
A03650,5
A05047,5
A13388,5
A05627,5
A04198,5
A11635,5
A02856,5
A04095,5
A02715,5
A04468,5
A12897,5
A10461,5
A00364,5
A13420,5
A00481,5
A07369,5
A09461,5
A00480,5
A10900,5
A09849,5
A07222,5
A04410,5
A02458,5
A00400,5
A07831,5
A04679,5
A07903,5
A10506,5
A03786,5
A02929,5
A13835,5
A09873,5
A04681,5
A06600,5
A06120,5
A04893,5
A05851,5
A01492,5
A02417,5
A05874,5
A02069,5
A08706,5
A10645,5
A08024,5
A05621,5
A07934,5
A01555,5
A09470,5
A13355,5
A12245,5
A12728,5
A11058,5
A05624,5
A13498,5
A00525,5
A08484,5
A03768,5
A08759,5
A00869,5
A04342,5
A11078,5
A03196,5
A07174,5
A11784,5
A05092,5
A07010,5
A08595,5
A09133,5
A09831,5
A13830,5
A02110,5
A08947,5
A09672,4
A08805,4
A07461,4
A03423,4
A08968,4
A07266,4
A09970,4
A02553,4
A05088,4
A05243,4
A06369,4
A13815,4
A07363,4
A01917,4
A03722,4
A05617,4
A04395,4
A13251,4
A05171,4
A09402,4
A12035,4
A07040,4
A03375,4
A05906,4
A11956,4
A04952,4
A04928,4
A01532,4
A13661,4
A05454,4
A10403,4
A07001,4
A13867,4
A02040,4
A11073,4
A09456,4
A03266,4
A05543,4
A03735,4
A03901,4
A03239,4
A08040,4
A04169,4
